,mu_target,sr,irstp,utilitarian_objective_function_value1,utilitarian_objective_function_value2,utilitarian_objective_function_value3
0,2150,0.27503609587915334,0.007458962317102544,-10.711750201613157,1.1723584552514388,3.9344438331984417
1,2289,0.3654379067010963,0.05472431416737919,-0.3267765126019095,2.6607624926644915,3.8397558015589652
2,2152,0.11603151855841141,0.04459362877871529,-0.5443332910731387,0.6948230821562817,3.9553227013076677
3,2057,0.1389741349733864,0.06611214434285623,-0.21604027957067137,0.46684147767797307,12.746800830412353
4,2187,0.4090253559442636,0.0046794246027279125,-16.05062010103102,1.9893319428402532,3.881818626210716
5,2260,0.37505471883195507,0.08009630510255067,-0.12030764606783746,2.5017174828740125,3.8480811763705174
6,2096,0.12620473721777917,0.004215097308746298,-17.322719513889158,0.5573645301223117,4.8315518826709
7,2145,0.48174592820839146,0.007519756920257212,-10.358858330030813,1.6381235258317222,3.913331974000053
8,2102,0.14415313458284104,0.07120710296980681,-0.17787840729756052,0.6145497790532424,4.243310589423316
9,2081,0.10816394535535251,0.0914048837020137,-0.0866548394703403,0.47738981605885467,6.997850547169571
10,2298,0.19064288762475023,0.05375064095264196,-0.35387986174512664,1.7364811231419044,3.8637788461536053
11,2227,0.4414946894919439,0.05591868060310042,-0.30378345811137164,2.5054790701574006,3.853048949104691
12,2280,0.39674363771634025,0.04203171285194386,-0.5910413494908012,2.758892630299311,3.8380494726773904
13,2117,0.10317524982079292,0.09758318197240948,-0.06951251443997275,0.5617487990813843,4.007595057747082
14,2267,0.10497308412163538,0.017821769424161468,-3.1767297115549766,1.111561549441441,3.8871946007430136
15,2166,0.45588080992943736,0.0030185787903879093,-20.924558915415048,1.8942563085775252,3.8933507322853895
16,2120,0.1415156267066503,0.009835693462601564,-7.725701444329338,0.6669324196086769,3.9965566091180444
17,2278,0.42496745758600707,0.0251268564128279,-1.6763808282640569,2.8799110754525263,3.834704338455417
18,2136,0.12978772865510121,0.025257738141315846,-1.715305875176403,0.6871975742659474,3.972931279760779
19,2221,0.3081809592847522,0.012600689509637573,-5.5061283460525345,1.9195710423068093,3.8748648635561924
20,2137,0.11519680962507467,0.03800610848977495,-0.7650649866106509,0.6497787329646496,3.97372408535521
21,2295,0.42798206171162256,0.06365239659589629,-0.2212722004993652,3.008323004924813,3.8290337806422663
22,2270,0.18991310100723027,0.026425543679235518,-1.572367695833723,1.6283950312485578,3.8723870078371516
23,2190,0.1024302375657376,0.02238609700731861,-2.1358944346141415,0.832772621740048,3.924624262051195
24,2209,0.14039344636448725,0.008072036994226116,-9.747150003972088,1.1042426033443495,3.9067825923594772
25,2259,0.22774971741181213,0.01869705626236234,-2.9441173982492344,1.7818474990453832,3.870333796854144
26,2056,0.11815887402732096,0.02854065753257469,-1.3610582210073665,0.42909905856988695,13.139424853373765
27,2203,0.12369681625939655,0.09974096590734521,-0.06385924884057229,0.9997102363462568,3.9129208434405554
28,2295,0.45284073695116955,0.005830149185482481,-13.289110164099611,3.129684094330435,3.825546837944225
29,2092,0.10764273829790874,0.0404307629293432,-0.6724953477508431,0.5056629014099192,5.349299088664962
30,2269,0.13419870127122155,0.014564892859096432,-4.420371781184638,1.3005507197208368,3.881694959779164
31,2056,0.13848269088612733,0.020928119158677875,-2.4243360117643906,0.4627583094843715,13.093068958064226
32,2100,0.10092497826781557,0.018529478624413537,-2.979870312275802,0.5113471839682576,4.523834365686438
33,2181,0.11660772872943359,0.018119922886146403,-3.097407975891347,0.8547937123056457,3.9288509629305706
34,2183,0.10194509085903748,0.033607977487784275,-0.9837799111658363,0.7995183349046064,3.9296743118168456
35,2270,0.2577492887050658,0.012447116306833138,-5.6190863449649955,1.9927505090749054,3.8618419442681065
36,2100,0.15827795827395308,0.024359801475901534,-1.8375711149295981,0.637139886093153,4.342982563914205
37,2303,0.10967969698527212,0.04162743883287855,-0.6313595382554219,1.2291231291850724,3.875708324003882
38,2293,0.27385491372030746,0.06762379802992169,-0.1977309011523384,2.1900305243472036,3.8521990148215233
39,2264,0.10085183273910472,0.08904205116297376,-0.094390488930156,1.0696193007851331,3.8889078688594303
40,2263,0.22094352741741546,0.03139881340588858,-1.1205195997676531,1.76578012546839,3.869939873399563
41,2231,0.10622705942328509,0.08907955964284073,-0.09414092399526304,1.00765754140729,3.9011255728767473
42,2264,0.23452851428661334,0.025176088481054792,-1.718951896056113,1.841735107363247,3.867483002106357
43,2240,0.2850439128694792,0.02246694276963419,-2.114826758717248,1.951330112316772,3.8692556323767295
44,2245,0.4057852551729363,0.02312401260331795,-1.968247486048753,2.52066720879722,3.8497032158915534
45,2291,0.23790941085290368,0.09281738484526818,-0.07927816622921079,1.9835830134980943,3.858306174025037
46,2276,0.2748747335093342,0.07477727010062987,-0.15092118530038218,2.1124487471412996,3.8572450027311587
